Coupling,,Rloss,,Isolation,,Iloss,
X,Y,X,Y,X,Y,X,Y
1100000000,-26.818183556973537,1100000000,-37.13661011972679,1100000000,-56.77078483516491,1100000000,-0.1328968524184868
1200000000,-26.085733931021622,1200000000,-36.67031899440441,1200000000,-56.26466191101153,1200000000,-0.13995364827892798
1300000000,-25.41278035643988,1300000000,-36.22302356740459,1300000000,-55.73619201815802,1300000000,-0.14573759548748333
1400000000,-24.8234579852327,1400000000,-35.77881053945842,1400000000,-55.20006736701769,1400000000,-0.14568980011018706
1500000000,-24.197204351407866,1500000000,-35.34011371676101,1500000000,-54.61132194309506,1500000000,-0.157977043819301
1600000000,-23.61278282692685,1600000000,-34.9125114894814,1600000000,-54.02538302093592,1600000000,-0.15860297019524316
1700000000,-23.05753409342254,1700000000,-34.47248993967791,1700000000,-53.43584101770951,1700000000,-0.1588888998817669
1800000000,-22.529494479864642,1800000000,-34.03711241509763,1800000000,-52.81945972767121,1800000000,-0.1715894822748829
1900000000,-22.050739964267134,1900000000,-33.60092182182247,1900000000,-52.17400991803713,1900000000,-0.17146108186551468
2000000000,-21.58082895573138,2000000000,-33.14287884608845,2000000000,-51.524756854234354,2000000000,-0.17697845700077763
2100000000,-21.169581673111857,2100000000,-32.65481452322069,2100000000,-50.874071383109374,2100000000,-0.18429638408523985
2200000000,-20.805564416718298,2200000000,-32.18981807419862,2200000000,-50.2262012295688,2200000000,-0.18431449600079652
2300000000,-20.480455697528765,2300000000,-31.664485263980062,2300000000,-49.54266082413727,2300000000,-0.19438943511206186
2400000000,-20.158485680857016,2400000000,-31.154916140985073,2400000000,-48.86724370648832,2400000000,-0.19720095830555984
2500000000,-19.819035651508454,2500000000,-30.65725293307395,2500000000,-48.19408126975494,2500000000,-0.1971754853029487
2600000000,-19.496002747870985,2600000000,-30.138515140720422,2600000000,-47.51206012429611,2600000000,-0.21037257549145905
2700000000,-19.191230718987253,2700000000,-29.64923889786759,2700000000,-46.824673254715734,2700000000,-0.21003174609356523
2800000000,-18.882474624579135,2800000000,-29.1381661229333,2800000000,-46.14522722114121,2800000000,-0.21218387885705792
2900000000,-18.58492160945311,2900000000,-28.67089495217428,2900000000,-45.44457945357157,2900000000,-0.2228105889633757
3000000000,-18.302125979276468,3000000000,-28.260057789080363,3000000000,-44.75813832955437,3000000000,-0.22291813007843697
3100000000,-18.039699901680034,3100000000,-27.871046491577637,3100000000,-44.084770415304995,3100000000,-0.2300022836369895
3200000000,-17.80524131874158,3200000000,-27.53097988604504,3200000000,-43.402907718584885,3200000000,-0.23577635917369233
3300000000,-17.57782066442784,3300000000,-27.21595997627403,3300000000,-42.750321950052246,3300000000,-0.23570714988594932
3400000000.0000005,-17.348871412890798,3400000000.0000005,-26.91810360891671,3400000000.0000005,-42.0755014057499,3400000000.0000005,-0.24786552884166801
3500000000.0000005,-17.110463559504378,3500000000.0000005,-26.661394145782083,3500000000.0000005,-41.42387799526026,3500000000.0000005,-0.2486145394188124
3600000000.0000005,-16.872642571073698,3600000000.0000005,-26.397083949112762,3600000000.0000005,-40.78678491503362,3600000000.0000005,-0.2493253680968026
3700000000.0000005,-16.646724844441437,3700000000.0000005,-26.157173749319462,3700000000.0000005,-40.15815038566235,3700000000.0000005,-0.2614702874285162
3800000000.0000005,-16.423371979031952,3800000000.0000005,-25.927856370925937,3800000000.0000005,-39.54370087187856,3800000000.0000005,-0.26149620209744917
3900000000,-16.202395922551002,3900000000,-25.742975847979793,3900000000,-38.95569231197473,3900000000,-0.26643057929036573
4000000000,-15.990619654613532,4000000000,-25.577420481947357,4000000000,-38.37568928529587,4000000000,-0.27433922910293895
4100000000,-15.785417781841005,4100000000,-25.433564046618486,4100000000,-37.827667447461536,4100000000,-0.27431856965991697
4200000000,-15.594421231129246,4200000000,-25.378037674604073,4200000000,-37.28168593552107,4200000000,-0.2843213849166819
4300000000,-15.394520367013659,4300000000,-25.24752848209549,4300000000,-36.76493872155477,4300000000,-0.2872009482063569
4400000000,-15.210309737652583,4400000000,-25.24793472129464,4400000000,-36.28053396075209,4400000000,-0.2873227332681808
4500000000,-15.025688050057845,4500000000,-25.21659210365128,4500000000,-35.81735255666883,4500000000,-0.30004835940874885
4600000000,-14.83164602845008,4600000000,-25.13112895037024,4600000000,-35.378131814211905,4600000000,-0.3000612224538103
4700000000,-14.67022068634613,4700000000,-25.11938788648044,4700000000,-34.96188621879738,4700000000,-0.302269406839069
4800000000,-14.477854678598327,4800000000,-25.119411932734046,4800000000,-34.58919156309367,4800000000,-0.31291476761626114
4900000000,-14.319926385121864,4900000000,-25.11942191362084,4900000000,-34.21567261465615,4900000000,-0.312927400544019
5000000000,-14.15841734711693,5000000000,-25.12382213619341,5000000000,-33.89930804530001,5000000000,-0.319667972298203
5100000000,-13.99574863013185,5100000000,-25.242236391906175,5100000000,-33.62044892227037,5100000000,-0.32576089779976836
5200000000,-13.819356964815128,5200000000,-25.248008747446576,5200000000,-33.37712386714198,5200000000,-0.3257792785739284
5300000000,-13.676325750087003,5300000000,-25.381264705387338,5300000000,-33.15138999711362,5300000000,-0.3380059065590153
5400000000,-13.546185299302103,5400000000,-25.37656049531254,5400000000,-32.977506149417394,5400000000,-0.33864275727803506
5500000000,-13.400874956507874,5500000000,-25.376459349899918,5500000000,-32.83590094587576,5500000000,-0.339145200060855
5600000000,-13.234176517149244,5600000000,-25.265103297977774,5600000000,-32.723975836696965,5600000000,-0.35153411339192986
5700000000.000001,-13.084613411154816,5700000000.000001,-25.18028121321575,5700000000.000001,-32.70655073342615,5700000000.000001,-0.35149740748510827
5800000000.000001,-12.918367101206545,5800000000.000001,-25.039719583395357,5800000000.000001,-32.70669437181127,5800000000.000001,-0.35652335441283434
5900000000.000001,-12.765914812096078,5900000000.000001,-24.897341954430065,5900000000.000001,-32.736887171458896,5900000000.000001,-0.3643512568647449
