Designator,Comment,Description,Footprint,Manufacturer,Manufacturer Part Number

"J1","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J10","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J11","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J12","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J13","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J2","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J4","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J5","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J7","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J8","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"C1","220nF","CAP CER 0.22UF 16V X7R 0603","0603 Cap","TDK Corporation","C1608X7R1C224K080AC"
"C13","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C2","100pF","CAP CER 100PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B101KB8NNNC"
"C3","220pF","CAP CER 220PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B221KB8WPNC"
"C32","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C33","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C34","2.2 uF 10V","CAP CER 2.2UF 10V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B225KP8NNNC"
"C35","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C36","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C37","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C38","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C39","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C4","4.7uF","CAP TANT 4.7UF 10V 20% 0603","0603 Cap","AVX Corporation","F981A475MMA"
"C41","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C42","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C43","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C44","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C45","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C46","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C47","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C48","2.2 uF 10V","CAP CER 2.2UF 10V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B225KP8NNNC"
"C53","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C54","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C55","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C56","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C57","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C58","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C59","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C60","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C61","2.2 uF 10V","CAP CER 2.2UF 10V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B225KP8NNNC"
"C62","220pF","CAP CER 220PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B221KB8WPNC"
"C64","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C65","100pF","CAP CER 100PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B101KB8NNNC"
"C66","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C70","330nF","CAP CER 0.33UF 16V X7R 0603","0603 Cap","Yageo","CC0603KRX7R7BB334"
"C71","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C72","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C74","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C75","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C8","220pF","CAP CER 220PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B221KB8WPNC"
"D1","LED RED","LED RED CLEAR 0603 SMD","0603 LED","Lite-On Inc.","LTST-C191KRKT"
"D2","LED GREEN","LED GREEN CLEAR 0603 SMD","0603 LED","Lite-On Inc.","LTST-C191KGKT"
"R1","4.7K","RES SMD 4.7K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-074K7L"
"R11","10K","RES SMD 10K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-0710KL"
"R12","10K","RES SMD 10K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-0710KL"
"R13","220","RES SMD 220 OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-07220RL"
"R14","8.06K","RES SMD 8.06K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-078K06L"
"R15","1K","RES SMD 1K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-071KL"
"R16","10K","RES SMD 10K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-0710KL"
"R2","1.58K","RES SMD 1.58K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-071K58L"
"R23","2.94K","RES SMD 2.94K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-072K94L"
"R24","22K","RES SMD 22K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-0722KL"
"R29","22","RES SMD 22 OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-0722RL"
"R30","10K","RES SMD 10K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-0710KL"
"C40","4.7uF 16V","CAP CER 4.7UF 16V X7R 0805","0805 CAP","Murata Electronics North America","GRM21BR71C475KE51L"
"FB2","30 ohm 100mhz","FERRITE BEAD 30 OHM 0805 1LN","0805 Ind","Bourns Inc.","MH2029-300Y"
"FB3","30 ohm 100mhz","FERRITE BEAD 30 OHM 0805 1LN","0805 Ind","Bourns Inc.","MH2029-300Y"
"C10","1pF 0402","CAP CER 1PF 50V C0G/NP0 0402","CAPC1005X05L","",""
"C11","1.8pF 0402","CAP CER 1.8PF 50V C0G/NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H1R8CZ01D"
"C15","1.8pF 0402","CAP CER 1.8PF 50V C0G/NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H1R8CZ01D"
"C18","100 pF","CAP CER 100PF 50V NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H101GA01D"
"C19","100 pF","CAP CER 100PF 50V NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H101GA01D"
"C21","0.1 uF","CAP CER 0.1UF 16V 10% X7R 0402","CAPC1005X05L","Samsung Electro-Mechanics America, Inc","CL05B104KO5NNNC"
"C22","100 pF","CAP CER 100PF 50V NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H101GA01D"
"C23","100 pF","CAP CER 100PF 50V NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H101GA01D"
"C24","0.1 uF","CAP CER 0.1UF 16V 10% X7R 0402","CAPC1005X05L","Samsung Electro-Mechanics America, Inc","CL05B104KO5NNNC"
"C27","1pF 0402","CAP CER 1PF 50V C0G/NP0 0402","CAPC1005X05L","",""
"C28","10pF","CAP CER 10PF 50V C0G/NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H100JA01D"
"C29","100 pF","CAP CER 100PF 50V NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H101GA01D"
"C30","0.1 uF","CAP CER 0.1UF 16V 10% X7R 0402","CAPC1005X05L","Samsung Electro-Mechanics America, Inc","CL05B104KO5NNNC"
"C31","0.5pF","CAP CER 0.5PF 50V C0G/NP0 0402","CAPC1005X05L","Murata Electronics North America","GJM1555C1HR50BB01D"
"C63","1000pF","CAP CER 1000PF 50V C0G/NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H102JA01D"
"C67","10 pF","CAP CER 10PF 50V 5% NP0 0402","CAPC1005X05L","Samsung Electro-Mechanics America, Inc","CL05C100JB5NNNC"
"C73","100 pF","CAP CER 100PF 50V 5% NP0 0402","CAPC1005X05L","Samsung Electro-Mechanics America, Inc","CL05C101JB5NNNC"
"C9","1pF 0402","CAP CER 1PF 50V C0G/NP0 0402","CAPC1005X05L","",""
"C17","4.7 uF","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 4.7uF 16volts X5R + - 10%","CAPC1608X10L","Murata Electronics","GRM188R61C475KAAJD"
"C20","4.7 uF","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 4.7uF 16volts X5R + - 10%","CAPC1608X10L","Murata Electronics","GRM188R61C475KAAJD"
"C50","4.7 uF","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 4.7uF 16volts X5R + - 10%","CAPC1608X10L","Murata Electronics","GRM188R61C475KAAJD"
"C52","4.7 uF","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 4.7uF 16volts X5R + - 10%","CAPC1608X10L","Murata Electronics","GRM188R61C475KAAJD"
"C68","10 uF","CAP CER 10UF 16V 20% X5R 0603","CAPC1608X10L","Murata Electronics North America","GRM188R61C106MA73D"
"C69","10 uF","CAP CER 10UF 16V 20% X5R 0603","CAPC1608X10L","Murata Electronics North America","GRM188R61C106MA73D"
"C12","10uF","CAP TANT 10UF 6.3V 20% 1206","CAPC3216X09L","AVX Corporation","TAJA106M006RNJ"
"C49","10 nF","CAP CER 10000PF 25V X7R 0402","Chip2PinSM127P600-8N_CAP0402","Samsung Electro-Mechanics America, Inc.","CL05B103KA5NNNC"
"C51","10 nF","CAP CER 10000PF 25V X7R 0402","Chip2PinSM127P600-8N_CAP0402","Samsung Electro-Mechanics America, Inc.","CL05B103KA5NNNC"
"U15","DSC6101CI2A-024.0000","ULTRA-LOW POWER,MEMS OSCILLATOR,","DFN 3.2x2.5","Microchip Technology","DSC6101CI2A-024.0000"
"U9","DSC6111CI1A-016.0000","ULTRA-LOW POWER,MEMS OSCILLATOR,","DFN 3.2x2.5","Microchip Technology","DSC6111CI1A-016.0000"
"U4","CP0302A5425ENTR","WIFI COUPLER 0302","DFN60P65X25-4N","AVX Corporation","CP0302A5425ENTR"
"D4","150141M173100","LED RGB CLEAR 1411 SMD","DFN270P320X210-4N","Wurth Electronics Inc.","150141M173100"
"CN-1","Header-1x3","","Header-1x3-Jumper","",""
"CN-GND","Header-1x2","","HEADER-1x2-Jumper","",""
"J3","Header-1x4","","HEADER-1X4","",""
"J6","Header-1x3","","Header-1x3-Jumper","",""
"STLINK","Header-1x6","","Header-1x6","",""
"L12","0.67nH","COILCRAFT - 0302CS-N67XKLU - INDUCTOR, RF, 0.67NH, 10%,26GHZ, SMD","INDC0905X05N-0302CS","COILCRAFT","0302CS-N67XKLU"
"L7","2.1nH","COILCRAFT - 0302CS-2N1XJLU - INDUCTOR, RF, 2.1NH,5%,15.94GHZ, SMD","INDC0905X05N-0302CS","COILCRAFT","0302CS-2N1XJLU"
"L10","3nH","FIXED IND 3NH 190MA 400 MOHM SMD","INDC1005X06L","Murata Electronics North America","LQP15MN3N0B02D"
"L11","6.8nH","FIXED IND 6.8NH 600MA 240 MOHM","INDC1005X06L","Murata Electronics North America","LQG15HS6N8J02D"
"L5","2.2nH","FIXED IND 2.2NH 1A 27 MOHM SMD","INDC1005X06L","Murata Electronics North America","LQW15AN2N2C10D"
"L8","1.5nH","FIXED IND 1.5NH 280MA 200 MOHM","INDC1005X06L","Murata Electronics North America","LQP15MN1N5B02D"
"L9","1.5nH","FIXED IND 1.5NH 280MA 200 MOHM","INDC1005X06L","Murata Electronics North America","LQP15MN1N5B02D"
"FB1","120 ohm","FERRITE BEAD 120 OHM 0603 1LN","INDC1608X08L","Murata Electronics North America","BLM18PG121SN1D"
"FB4","120 ohm","FERRITE BEAD 120 OHM 0603 1LN","INDC1608X08L","Murata Electronics North America","BLM18PG121SN1D"
"L6","18nH","COILCRAFT - 0603CS-18NXJLU - INDUCTOR, RF, 18NH, 5%, 3.1GHZ, SMD","INDC1811X10L 0603CS","",""
"U8","STM32F205VET6","IC MCU 32BIT 512KB FLASH 100LQFP","LQFP-100","STMicroelectronics","STM32F205VET6"
"U1","OPA2354AIDGKR","IC OPAMP VFB 100MHZ RRO 8VSSOP","MSOP-8","Texas Instruments","OPA2354AIDGKR"
"RST1","PushButton","","PushButton","",""
"U3","SKY65006-348LF","PA: Linear, high-gain two-stage power  amplifier with integrated output power detector and second  harmonic (F2) filter","QFN50P300X300X100_HS-17N","Broadcom Limited","MGA-13216-BLKG"
"U6","QPL9065","","QFN50P350X350X86_HS-17N-qorvo","COILCRAFT","772-QPL9065TR13"
"U12","USB3320C-EZK-TR","IC TXRX USB 2.0 FLEXPWR 32QFN","QFN127P600-8N","Microchip Technology","USB3320C-EZK-TR"
"C14","4.7pF 0402","CAP CER 4.7PF 50V C0G/NP0 0402","RESC1005X04L","Murata Electronics North America","GRM1555C1H4R7CA01D"
"C16","5.6pF","AVX - 04025A5R6CAT2A - COND, MLCC, C0G/NP0, 5.6PF, 50V, 0402","RESC1005X04L","AVX","04025A5R6CAT2A"
"C5","10000pF 0402","CAP CER 10000PF 25V X7R 0402","RESC1005X04L","Murata Electronics North America","GRM155R71E103KA01J"
"C6","10000pF 0402","CAP CER 10000PF 25V X7R 0402","RESC1005X04L","Murata Electronics North America","GRM155R71E103KA01J"
"C7","5.6pF","AVX - 04025A5R6CAT2A - COND, MLCC, C0G/NP0, 5.6PF, 50V, 0402","RESC1005X04L","AVX","04025A5R6CAT2A"
"L1","22nH","FIXED IND 22NH 200MA 700 MOHM","RESC1005X04L","",""
"L2","22nH","FIXED IND 22NH 200MA 700 MOHM","RESC1005X04L","",""
"L3","2.2nH","FIXED IND 2.2NH 500MA 180 MOHM","RESC1005X04L","TDK Corporation","MLK1005S2N2ST000"
"L4","2.2nH","FIXED IND 2.2NH 500MA 180 MOHM","RESC1005X04L","TDK Corporation","MLK1005S2N2ST000"
"R10","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R17","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R18","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R19","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R21","5.1","RES SMD 5.1 OHM 1% 1/16W 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc.","RC1005F5R1CS"
"R22","39K","RES SMD 39K OHM 1% 1/16W 0402","RESC1005X04L","Yageo","RC0402FR-0739KL"
"R25","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R26","100","RES 100 OHM 1/16W 1% 0402 SMD","RESC1005X04L","Rohm Semiconductor","MCR01MRTF1000"
"R27","220","RES SMD 220 OHM 1% 1/16W 0402","RESC1005X04L","Yageo","RC0402FR-07220RL"
"R28","100","RES 100 OHM 1/16W 1% 0402 SMD","RESC1005X04L","Rohm Semiconductor","MCR01MRTF1000"
"R3","240","RES SMD 240 OHM 5% 1/10W 0402","RESC1005X04L","Panasonic Electronic Components","ERJ-2GEJ241X"
"R31","100","RES 100 OHM 1/16W 1% 0402 SMD","RESC1005X04L","Rohm Semiconductor","MCR01MRTF1000"
"R32","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R33","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R4","49.9","RES 49.9 OHM 1/16W 1% 0402 SMD","RESC1005X04L","Rohm Semiconductor","MCR01MRTF49R9"
"R5","180","RES SMD 180 OHM 5% 1/10W 0402","RESC1005X04L","",""
"R6","51K","RES SMD 51K OHM 5% 1/10W 0402","RESC1005X04L","Panasonic Electronic Components","ERJ-2GEJ513X"
"R7","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R8","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"R9","0","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"D3","BAT60JFILM","DIODE SCHOTTKY 10V 3A SOD323","SODFL250X117-2N","STMicroelectronics","BAT60JFILM"
"U14","MIC5353-3.0YMT-TR","IC REG LINEAR 3V 500MA 6TMLF","SON50P160X55_HS-7N","Microchip Technology","MIC5353-3.0YMT-TR"
"U7","ADL5350ACPZ-R7","IC MIXER 750MHZ-4GHZ 8LFCSP","SON50P200X80_HS-9N","Analog Devices Inc.","ADL5350ACPZ-R7"
"U10","ADM7171ACPZ-3.3-R7","IC REG LDO 3.3V 1A 8-LFCSP","SON50P300X80_HS-9N LFCSP_WD Analog","Analog Devices Inc.","ADM7171ACPZ-3.3-R7"
"U11","TLV73318PDBVT","IC REG LINEAR 1.8V 300MA SOT23-5","SOT95P280X145-5N","Texas Instruments","TLV73318PDBVT"
"U13","LD6836TD/16H","NEXPERIA - LD6836TD/16H - LDO, 5,5V, 0.09VDO, 0,3A, 1,6V, 5SOT753","SOT-753","NEXPERIA","LD6836TD/16H"
"TP1","1625854-4","1206 PROBE PAD","TESTPOINT 1206","TE Connectivity AMP Connectors","1625854-4"
"TP2","1625854-4","1206 PROBE PAD","TESTPOINT 1206","TE Connectivity AMP Connectors","1625854-4"
"USB_DATA","USB micro B","","USB-MicroB","",""
"USB_POWER","USB micro B","","USB-MicroB","",""
"U5","MAX2750EUA+","IC OSC VOLT CNTRL 8-UMAX","uSOP-8 uMAX","Maxim Integrated","MAX2750EUA+"
"U2","MAX5388LAUB+","IC DGTL POT 256POS 10K 10UMAX","uSOP-10 uMAX","Maxim Integrated","MAX5388LAUB+"
